"year","denomination_id","name","short_name","family_census","family_arda","family_relec","id"
1906,,"Duck River and Kindred Assocations of Baptists (Baptist Church of Christ)","Duck River and Kindred Assocations of Baptists (Baptist Church of Christ)","Baptists","Baptist","Baptist",1188
1906,,"Evangelical Adventists","Evangelical Adventists","Adventist","Adventist","Adventist",1177
1906,,"Evangelical Association","Evangelical Association","Evangelistic associations ","Methodist/Pietist","Methodist",1102
1906,,"Evangelical Lutheran Church in America, Eielsen's Synod","Evangelical Lutheran Church in America, Eielsen's Synod","Lutheran","Lutheran","Lutheran",1219
1906,,"Evangelical Lutheran Jehovah Conference","Evangelical Lutheran Jehovah Conference","Lutheran","Lutheran","Lutheran",1103
1906,,"Evangelical Lutheran Joint Synod of Ohio and Other States","Evangelical Lutheran Joint Synod of Ohio and Other States","Lutheran","Lutheran","Lutheran",1104
1906,,"Evangelical Lutheran Synodical Conference of America","Evangelical Lutheran Synodical Conference of America","Lutheran","Lutheran","Lutheran",1105
1906,,"Evangelical Lutheran Synod of Iowa and Other States","Evangelical Lutheran Synod of Iowa and Other States","Lutheran","Lutheran","Lutheran",1106
1906,,"Evangelical Lutheran Synod of Michigan and Other States","Evangelical Lutheran Synod of Michigan and Other States","Lutheran","Lutheran","Lutheran",1107
1906,,"Evangelical Union of Bohemian and Moravian Brethren in North America","Evangelical Union of Bohemian and Moravian Brethren in North America","Moravian","Methodist/Pietist","Moravian",1241
1906,,"Finnish Evangelical Lutheran Church, or Suomi Synod","Finnish Evangelical Lutheran Church, or Suomi Synod","Lutheran","Lutheran","Lutheran",1108
1906,,"Finnish Evangelical Lutheran National Church ","Finnish Evangelical Lutheran National Church ","Lutheran","Lutheran","Lutheran",1222
1906,,"Free Baptists","Free Baptists","Baptists","Baptist","Baptist",1109
1906,,"Free Christian Zion Church of Christ (Colored)","Free Christian Zion Church of Christ (Colored)","Free Christian ZIon Church of Christ (Colored)","Methodist/Pietist","Holiness ",1216
1906,,"Free Methodist Church of North America","Free Methodist Church of North America","Methodist","Methodist/Pietist","Methodist",1110
1906,,"Freewill Baptists","Freewill Baptists","Baptists","Baptist","Baptist",1184
1906,,"Freewill Baptists (Bullockites)","Freewill Baptists (Bullockites)","Baptists","Baptist","Baptist",1190
1906,,"Friends (Primitive)","Friends (Primitive)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends",1111
1906,,"General Baptists","General Baptists","Baptists","Baptist","Baptist",1185
1906,,"General Church of the New Jerusalem","General Church of the New Jerusalem","Churches of the New Jerusalem","Spiritualist","Swedenborgian",1112
1906,,"General Conference of Mennonites of North America","General Conference of Mennonites of North America","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonites",1113
1906,,"General Convention of the New Jerusalem in the United States of America","General Convention of the New Jerusalem in the United States of America","Churches of the New Jerusalem","Spiritualist ","Swedenborgian",1114
1906,,"General Council of the Evangelical Lutheran Church in North America","General Council of the Evangelical Lutheran Church in North America","Lutheran","Lutheran","Lutheran",1115
1906,,"General Six Principle Baptists","General Six Principle Baptists","Baptists","Baptist","Baptist",1182
1906,,"General Synod of the Evangelical Lutheran Church in the United States of America","General Synod of the Evangelical Lutheran Church in the United States of America","Lutheran","Lutheran","Lutheran",1116
1906,,"German Baptist Brethren Church (Conservative)","German Baptist Brethren Church (Conservative)","Dunkers or German Baptist Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist",1117
1906,,"German Evangelical Lutheran Synod of Texas","German Evangelical Lutheran Synod of Texas","Lutheran","Lutheran","Lutheran",1220
1906,,"German Evangelical Protestant Ministers' Association","German Evangelical Protestant Ministers' Association","German Evangelical Protestant",,"Other groups",1118
1906,,"German Evangelical Protestant Ministers' Conference","German Evangelical Protestant Ministers' Conference","German Evangelical Protestant",,"Other groups",1119
1906,,"German Evangelical Synod of North America","German Evangelical Synod of North America","German Evangelical Synod of North America",,"Reformed",1120
1906,,"German Seventh-day Baptists","German Seventh-day Baptists","Dunkers or German Baptist Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists ",1202
1906,,"Gospel Mission","Gospel Mission","Evangelistic Associations","Holiness","Holiness",1211
1906,,"Greek Orthodox Church","Greek Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",1121
1906,,"Hauge's Norwegian Evangelical Lutheran Synod","Hauge's Norwegian Evangelical Lutheran Synod","Lutheran","Lutheran","Lutheran",1122
1906,,"Heavenly Recruit Church","Heavenly Recruit Church","Evangelistic Associations","Holiness","Holiness",1208
1906,,"Hephzibah Faith Missionary Association","Hephzibah Faith Missionary Association","Evangelistic Associations","Other grouos","Holiness ",1205
1906,,"Hungarian Reformed Church in America","Hungarian Reformed Church in America","Reformed Bodies","Reformed/Presbyterian","Reformed",1123
1906,,"Icelandic Evangelical Lutheran Synod in North America","Icelandic Evangelical Lutheran Synod in North America","Lutheran","Lutheran","Lutheran",1221
1906,,"Immanuel Synod of the Evangelical Lutheran Church of North America","Immanuel Synod of the Evangelical Lutheran Church of North America","Lutheran","Lutheran","Lutheran",1124
1906,,"Independent Churches","Independent Churches","Independent Churches","Other groups","Other groups",1125
1906,,"International Apostolic Holiness Union","International Apostolic Holiness Union","International Apostolic Holiness Union","Holiness","Holiness",1218
1906,,"Japanese Temples","Japanese Temples","Buddhists","Other groups","Buddhist",1126
1906,,"Jewish congregations","Jewish congregations","Jewish congregations","Judaism","Jewish",1127
1906,,"Krimmer Brueder-Gemeinde","Krimmer Brueder-Gemeinde","Bundes Conferenz der Mennoniten Brueder-Gemeinde","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1233
1906,,"Life and Advent Union","Life and Advent Union","Adventist","Adventist","Adventist",1180
1906,,"Lumber River Mission","Lumber River Mission","Evangelistic Associations","Holiness","Holiness",1213
1906,,"Lutheran Synod of Buffalo","Lutheran Synod of Buffalo","Lutheran","Lutheran","Lutheran",1128
1906,,"Mennonite Brethren in Christ","Mennonite Brethren in Christ","Mennonite","Holiness","Mennonite ",1129
1906,,"Mennonite Church","Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1225
1906,,"Methodist Episcopal Church","Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist",1130
1906,,"Methodist Episcopal Church, South","Methodist Episcopal Church, South","Methodist","Methodist/Pietist","Methodist",1131
1906,,"Methodist Protestant Church","Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist",1132
1906,,"Metropolitan Church Assocation","Metropolitan Church Assocation","Evangelistic Associations","Holiness","Holiness ",1204
1906,,"Missionary Church Association","Missionary Church Association","Evangelistic Associations","Holiness","Holiness ",1206
1906,,"Moravian Church (Unitas Fratrum)","Moravian Church (Unitas Fratrum)","Moravian","Methodist/Pietist","Moravian",1133
1906,,"National Baptist Convention (Colored)","National Baptist Convention (Colored)","Baptists","Baptist","Baptist",1077
1906,,"Nebraska and Minnesota Conference of Mennonites ","Nebraska and Minnesota Conference of Mennonites ","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1236
1906,,"New Apostolic Church","New Apostolic Church","Catholic Apostolic Churches","Restoration","Restorationist",1134
1906,,"New Congregational Methodist Church","New Congregational Methodist Church","Methodist","Methodist/Pietist","Methodist",1238
1906,,"Nonsectarian Churches of Bible Faith","Nonsectarian Churches of Bible Faith","Nonsectarian Churches of Bible Faith","Restoration","Restorationist",1135
1906,,"Northern Baptist Convention","Northern Baptist Convention","Baptists","Baptist","Baptist",1076
1906,,"Norwegian Lutheran Free Church","Norwegian Lutheran Free Church","Lutheran","Lutheran","Lutheran",1136
1906,,"Old Amish Mennonite Church","Old Amish Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1228
1906,,"Old Order German Baptist Brethren","Old Order German Baptist Brethren","Dunkers or German Baptist Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists ",1201
1906,,"Old (Wisler) Mennonite Church","Old (Wisler) Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1231
1906,,"Orthodox Conservative Friends (Wilburite)","Orthodox Conservative Friends (Wilburite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends",1217
1906,,"Peniel Missions","Peniel Missions","Evangelistic Associations","Holiness","Holiness ",1203
1906,,"Pentecostal Church of the Nazarene","Pentecostal Church of the Nazarene","Pentecostal Church of the Nazarene","Pentecostal","Pentecostal",1137
1906,,"Pentecostal Union Church","Pentecostal Union Church","Evangelistic Associations",,"Holiness",1214
1906,,"Pentecost Bands of the World","Pentecost Bands of the World","Evangelistic Associations","Methodist/Pietist","Holiness ",1207
1906,,"Polish National Church of America","Polish National Church of America","Polish National Church of America","Western Liturgical (Catholicism)","Other groups",1138
1906,,"Presbyterian Church in the United States","Presbyterian Church in the United States","Presbyterian","Reformed/Presbyterian","Presbyterian",1139
1906,,"Presbyterian Church in the United States of America","Presbyterian Church in the United States of America","Presbyterian","Reformed/Presbyterian","Presbyterian",1140
1906,,"Primitive Baptists","Primitive Baptists","Baptists","Baptist","Baptist",1141
1906,,"Primitive Methodist Church in the United States of America","Primitive Methodist Church in the United States of America","Methodists","Methodist/Pietist","Methodist ",1142
1906,,"Protestant Episcopal Church","Protestant Episcopal Church","Protestant Episcopal Church","Anglican","Episcopalian",1143
1906,,"Reformed Catholic Church","Reformed Catholic Church","Reformed Catholic Church","Other groups","Other groups",1144
1906,,"Reformed Church in America","Reformed Church in America","Reformed Bodies","Reformed/Presbyterian","Reformed",1145
1906,,"Reformed Church in the United States","Reformed Church in the United States","Reformed Bodies","Reformed/Presbyterian","Reformed",1146
1906,,"Reformed Episcopal Church","Reformed Episcopal Church","Reformed Episcopal Church","Anglican","Episcopalian",1147
1906,,"Reformed Mennonite Church","Reformed Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1229
1906,,"Reformed Methodist Union Episocal Church (Colored)","Reformed Methodist Union Episocal Church (Colored)","Methodist","Methodist/Pietist","Methodist",1240
1906,,"Reformed Presbyterian Church (Covenanted)","Reformed Presbyterian Church (Covenanted)","Presbyterian","Reformed/Presbyterian","Presbyterian",1244
1906,,"Reformed Presbyterian Church in North America, General Synod","Reformed Presbyterian Church in North America, General Synod","Presbyterian","Reformed/Presbyterian","Presbyterian",1148
1906,,"Reformed Presbyterian Church in the United States and Canada ","Reformed Presbyterian Church in the United States and Canada ","Presbyterian","Reformed/Presbyterian","Presbyterian",1245
1906,,"Reformed Zion Union Apostolic Church (Colored)","Reformed Zion Union Apostolic Church (Colored)","Methodist","Methodist/Pietist","Methodist",1239
1906,,"Religious Society of Friends (Hicksite)","Religious Society of Friends (Hicksite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends",1149
1906,,"Reorganized Church of Jesus Christ of Latter-day Saints","Reorganized Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints","Latter Day Saints",1150
1906,,"Roman Catholic Church","Roman Catholic Church","Roman Catholic Church","Western Liturgical (Catholicism)","Catholic",1151
1906,,"Russian Orthodox Church","Russian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",1152
1906,,"Salvation Army","Salvation Army","Salvationists","Holiness","Holiness",1153
1906,,"Schellenburger Brueder-Gemeinde","Schellenburger Brueder-Gemeinde","Bundes Conferenz der Mennoniten Brueder-Gemeinde","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1234
1906,,"Schwenkfelders","Schwenkfelders","Schwenkfelders","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Other groups",1246
1906,,"Separate Baptists","Separate Baptists","Baptists","Baptist","Baptist",1186
1906,,"Servian Orthodox Church","Servian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",1154
1906,,"Seventh-day Adventist Denomination","Seventh-day Adventist Denomination","Adventist","Adventist","Adventist",1155
1906,,"Seventh-day Baptists","Seventh-day Baptists","Baptists","Baptist","Baptist",1183
1906,,"Slovak Evangelical Lutheran Synod of America","Slovak Evangelical Lutheran Synod of America","Lutheran","Lutheran","Lutheran",1156
1906,,"Social Brethren","Social Brethren","Social Brethren","Other groups","Other groups",1247
1906,,"Society for Ethical Culture","Society for Ethical Culture","Society for Ethical Culture","Liberal","Other groups",1157
1906,,"Society of Friends (Orthodox)","Society of Friends (Orthodox)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish) ","Friends",1158
1906,,"Southern Baptist Convention","Southern Baptist Convention","Baptists","Baptist","Baptist",1078
