"year","denomination_id","name","short_name","family_census","family_arda","family_relec","id"
1916,,"Central Conference of Mennonites","Central Conference of Mennonites","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1025
1916,,"Chinese temples","Chinese temples","Buddhists","Other Groups","Buddhist",993
1916,,"Christadelphians","Christadelphians","Christadelphians","Other Groups","Restorationist",862
1916,,"Christian and Missionary Alliance","Christian and Missionary Alliance","Christian and Missionary Alliance","Holiness","Holiness",863
1916,,"Christian Church (American Christian Convention)","Christian Church (American Christian Convention)","Christian Church (American Christian Convention)","Restoration","Restorationist",864
1916,,"Christian Congregation","Christian Congregation","Evangelistic associations","Congregationalists (UCC)","Restorationist",999
1916,,"Christian Reformed Church","Christian Reformed Church","Reformed ","Reformed/Presbyterian","Reformed",865
1916,,"Christian Union","Christian Union","Christian Union","Other Groups","Restorationist",866
1916,,"Churches of Christ","Churches of Christ","Church of Christ","Restoration","Restorationist",871
1916,,"Churches of Christ","Churches of Christ","Churches of Christ","Restoration","Restorationist",867
1916,,"Churches of God, General Assembly","Churches of God, General Assembly","Churches of God, General Assembly","Other Groups","Holiness",868
1916,,"Churches of God in Christ Jesus","Churches of God in Christ Jesus","Adventist","Adventist","Adventist",869
1916,,"Churches of God in North America, General Eldership of the","Churches of God in North America, General Eldership of the","Churches of God in North America, General Eldership of the","Reformed/Presbyterian","Restorationist",870
1916,,"Church of Daniel's Band","Church of Daniel's Band","Evangelistic associations","Methodist/Pietist","Holiness",1000
1916,,"Church of God (Adventist)","Church of God (Adventist)","Adventist","Adventist","Adventist",982
1916,,"Church of God and Saints of Christ","Church of God and Saints of Christ","Church of God and Saints of Christ","Other Groups","Other Groups",872
1916,,"Church of God as Organized by Christ","Church of God as Organized by Christ","Evangelistic associations","Other Groups","Other Groups",1001
1916,,"Church of God in Christ (Mennonite)","Church of God in Christ (Mennonite)","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1018
1916,,"Church of God (New Dunkers)","Church of God (New Dunkers)","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist",990
1916,,"Church of Jesus Christ of Latter Day Saints","Church of Jesus Christ of Latter Day Saints","Latter Day Saints","Latter-day Saints (Mormonism)","Latter Day Saints",873
1916,,"Church of the Brethren (Conservative Dunkers)","Church of the Brethren (Conservative Dunkers)","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists",875
1916,,"Church of the Living God","Church of the Living God","Churches of the Living God","Pentecostal","Pentecostal",877
1916,,"Church of the Living God, Christian Workers for Fellowship","Church of the Living God, Christian Workers for Fellowship","Churches of the Living God","Holiness","Pentecostal",878
1916,,"Church of the Living God, General Assembly","Church of the Living God, General Assembly","Churches of the Living God",,"Pentecostal",994
1916,,"Church of the Living God, General Assembly","Church of the Living God, General Assembly","Churches of the Living God","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists",874
1916,,"Church of the Lutheran Brethren of America (Norwegian)","Church of the Lutheran Brethren of America (Norwegian)","Lutheran","Lutheran","Lutheran",1014
1916,,"Church of the United Brethren in Christ","Church of the United Brethren in Christ","United Brethren","Methodist/Pietist","United Brethren",879
1916,,"Church of the United Brethren in Christ (Old Constitution)","Church of the United Brethren in Christ (Old Constitution)","United Brethren","Methodist/Pietist","United Brethren",1038
1916,,"Church of the Universal Messianic Message","Church of the Universal Messianic Message","Church of the Universal Messianic Message","?","Other Groups",880
1916,,"Church Transcendent","Church Transcendent","Evangelistic associations",,"Other Groups",1002
1916,,"Colored Cumberland Presbyterian Church","Colored Cumberland Presbyterian Church","Presbyterian","Reformed/Presbyterian","Presbyterian",881
1916,,"Colored Methodist Episcopal Church","Colored Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist",882
1916,,"Colored Methodist Protestant Church","Colored Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist",883
1916,,"Colored Primitive Baptists","Colored Primitive Baptists","Baptist","Baptist","Baptist",884
1916,,"Conference of the Defenseless Mennonites of North America","Conference of the Defenseless Mennonites of North America","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1026
1916,,"Congregational Churches","Congregational Churches","Congregational Churches","Congregationalists (UCC)","Congregational",885
1916,,"Congregational Methodist Church","Congregational Methodist Church","Methodist","Methodist/Pietist","Methodist",1028
1916,,"Conservative Amish Mennonite Church","Conservative Amish Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1016
1916,,"Cumberland Presbyterian Church","Cumberland Presbyterian Church","Presbyterian","Reformed/Presbyterian","Presbyterian",886
1916,,"Danish Evangelical Lutheran Church in America","Danish Evangelical Lutheran Church in America","Lutheran","Lutheran","Lutheran",887
1916,,"Defenseless Mennonites","Defenseless Mennonites","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1021
1916,,"Disciples of Christ","Disciples of Christ","Disciples of Christ","Restoration","Restorationist",888
1916,,"Duck River and Kindred Associations of Baptists (Baptist Church of Christ)","Duck River and Kindred Associations of Baptists (Baptist Church of Christ)","Baptist","Baptist","Baptist",987
1916,,"Evangelical Association","Evangelical Association","Evangelical Association","?","Methodist",889
1916,,"Evangelical Lutheran Church in America, Eielsen's Synod","Evangelical Lutheran Church in America, Eielsen's Synod","Lutheran","Lutheran","Lutheran",1012
1916,,"Evangelical Lutheran Jehovah Conference","Evangelical Lutheran Jehovah Conference","Lutheran","Lutheran","Lutheran",890
1916,,"Evangelical Lutheran Joint Synod of Ohio and Other States","Evangelical Lutheran Joint Synod of Ohio and Other States","Lutheran","Lutheran","Lutheran",891
1916,,"Evangelical Lutheran Synodical Conference of America","Evangelical Lutheran Synodical Conference of America","Lutheran","Lutheran","Lutheran",892
1916,,"Evangelical Lutheran Synod of Iowa and Other States","Evangelical Lutheran Synod of Iowa and Other States","Lutheran","Lutheran","Lutheran",893
1916,,"Evangelical Protestant Church of North America","Evangelical Protestant Church of North America","Evangelical Protestant Church of North America","?","Other Groups",894
1916,,"Evangelical Union of Bohemian and Moravian Brethren in North America","Evangelical Union of Bohemian and Moravian Brethren in North America","Moravian","Methodist/Pietist","Moravian",1030
1916,,"Finnish Evangelical Lutheran Church of America, or Suomi Synod","Finnish Evangelical Lutheran Church of America, or Suomi Synod","Lutheran","Lutheran","Lutheran",895
1916,,"Finnish Evangelical Lutheran National Church","Finnish Evangelical Lutheran National Church","Lutheran","Lutheran","Lutheran",896
1916,,"Free Baptists","Free Baptists","Baptist","Baptist","Baptist",897
1916,,"Free Christian Zion Church of Christ","Free Christian Zion Church of Christ","Free Christian Zion Church of Christ","Methodist/Pietist","Holiness",1009
1916,,"Free Methodist Church of North America","Free Methodist Church of North America","Methodist","Methodist","Methodist",898
1916,,"Free Will Baptists","Free Will Baptists","Baptist","Baptist","Baptist",899
1916,,"Friends (Primitive)","Friends (Primitive)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends",1010
1916,,"General Baptists","General Baptists","Baptist","Baptist","Baptist",900
1916,,"General Church of the New Jerusalem","General Church of the New Jerusalem","Churches of the New Jerusalem","Spiritualist","Swedenborgian",995
1916,,"General Conference of Mennonites of North America","General Conference of Mennonites of North America","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",901
1916,,"General Convention of the New Jerusalem in the United States of America","General Convention of the New Jerusalem in the United States of America","Churches of the New Jerusalem","Spiritualist","Swedenborgian",902
1916,,"General Council of the Evangelical Lutheran Church in North America","General Council of the Evangelical Lutheran Church in North America","Lutheran","Lutheran","Lutheran",903
1916,,"General Six Principle Baptists","General Six Principle Baptists","Baptist","Baptist","Baptist",983
1916,,"General Synod of the Evangelical Lutheran Church in the United States of America","General Synod of the Evangelical Lutheran Church in the United States of America","Lutheran","Lutheran","Lutheran",904
1916,,"German Evangelical Synod of North America","German Evangelical Synod of North America","German Evangelical Synod of North America","?","Other Groups",905
1916,,"German Seventh Day Baptists","German Seventh Day Baptists","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist",989
1916,,"Greek Orthodox Church (Hellenic)","Greek Orthodox Church (Hellenic)","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",906
1916,,"Hauge's Norwegian Evangelical Lutheran Synod","Hauge's Norwegian Evangelical Lutheran Synod","Lutheran (Norwegian Lutheran Church of America)","Lutheran","Lutheran",907
1916,,"Hephzibah Faith Missionary Association","Hephzibah Faith Missionary Association","Evangelistic associations","Other Groups","Holiness",1003
1916,,"Holiness Church","Holiness Church","Holiness Church","Holiness","Holiness",1011
1916,,"Hungarian Reformed Church in America","Hungarian Reformed Church in America","Reformed ","Reformed/Presbyterian","Reformed",908
1916,,"Hutterian Brethren","Hutterian Brethren","Mennonite","Communal","Mennonite",1015
1916,,"Icelandic Evangelical Lutheran Synod in North America","Icelandic Evangelical Lutheran Synod in North America","Lutheran","Lutheran","Lutheran",1013
1916,,"Immanuel Synod of the Evangelical Lutheran Church in North America","Immanuel Synod of the Evangelical Lutheran Church in North America","Lutheran","Lutheran","Lutheran",909
1916,,"Independent Bohemian and Moravian Brethren Churches","Independent Bohemian and Moravian Brethren Churches","Moravian","Methodist/Pietist","Moravian",1031
1916,,"Independent churches","Independent churches","Independent churches","Other Groups","Other Groups",910
1916,,"International Apostolic Holiness Church","International Apostolic Holiness Church","International Apostolic Holiness Church",,"Holiness",911
1916,,"Jacobite Church (Assyrian)","Jacobite Church (Assyrian)","Jacobite Church (Assyrian)",,"Orthodox",912
1916,,"Japanese Temples","Japanese Temples","Buddhists","Other Groups","Buddhist",913
1916,,"Jewish congregations","Jewish congregations","Jewish congregations","Judaism","Jewish",914
1916,,"Kleine Gemeinde","Kleine Gemeinde","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1024
1916,,"Krimmer Brueder-Gemeinde","Krimmer Brueder-Gemeinde","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1023
1916,,"Life and Advent Union","Life and Advent Union","Adventist","Adventist","Adventist",915
1916,,"Lithuanian National Catholic Church","Lithuanian National Catholic Church","Lithuanian National Catholic Church","Western Liturgical (Catholicism)","Other Groups",916
1916,,"Lumber River Mission","Lumber River Mission","Evangelistic associations","Holiness","Holiness",1004
1916,,"Lutheran Free Church (Norwegian)","Lutheran Free Church (Norwegian)","Lutheran","Lutheran","Lutheran",917
1916,,"Lutheran Synod of Buffalo","Lutheran Synod of Buffalo","Lutheran","Lutheran","Lutheran",918
1916,,"Mennonite Brethren Church of North America","Mennonite Brethren Church of North America","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1022
1916,,"Mennonite Brethren in Christ","Mennonite Brethren in Christ","Mennonite","Holiness","Mennonite",919
1916,,"Mennonite Church","Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",920
1916,,"Methodist Episcopal Church","Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist",921
1916,,"Methodist Episcopal Church, South","Methodist Episcopal Church, South","Methodist","Methodist/Pietist","Methodist",922
1916,,"Methodist Protestant Church","Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist",923
1916,,"Metropolitan Church Association","Metropolitan Church Association","Evangelistic associations","Holiness","Holiness",1005
1916,,"Missionary Church Association","Missionary Church Association","Evangelistic associations","Holiness","Holiness",924
1916,,"Moravian Church (Unitas Fratrum)","Moravian Church (Unitas Fratrum)","Moravian","Methodist/Pietist","Moravian",925
1916,,"National Baptist Convention","National Baptist Convention","Baptist","Baptist","Baptist",926
1916,,"New Apostolic Church","New Apostolic Church","New Apostolic Church",,"Restorationist",927
1916,,"New Congregational Methodist Church","New Congregational Methodist Church","Methodist","Methodist/Pietist","Methodist",1029
1916,,"Nonsectarian Churches of Bible Faith","Nonsectarian Churches of Bible Faith","Nonsectarian Churches of Bible Faith","Other Groups","Restorationist",1032
1916,,"Northern Baptist Convention","Northern Baptist Convention","Baptist","Baptist","Baptist",928
1916,,"Norwegian-Danish Free Church","Norwegian-Danish Free Church","Scandinavian Evangelical","Methodist/Pietist","Pietist",929
1916,,"Old Order Amish Mennonite Church","Old Order Amish Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1017
1916,,"Old Order German Baptist Brethren","Old Order German Baptist Brethren","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists",930
1916,,"Old Order Mennonite Church (Wisler)","Old Order Mennonite Church (Wisler)","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1019
1916,,"Old Order or Yorker Brethren","Old Order or Yorker Brethren","Brethren, River","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",991
1916,,"Old Roman Catholic Church","Old Roman Catholic Church","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic",931
1916,,"Orthodox Conservative Friends (Wilburite)","Orthodox Conservative Friends (Wilburite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends",949
1916,,"Peniel Missions","Peniel Missions","Evangelistic associations","Holiness","Holiness",1006
1916,,"Pentecostal Church of the Nazarene","Pentecostal Church of the Nazarene","Pentecostal Church of the Nazarene","Pentecostal","Pentecostal",932
1916,,"Pentecostal Holiness Church","Pentecostal Holiness Church","Pentecostal Holiness Church","Pentecostal","Pentecostal",933
1916,,"Pentecost Bands of the World","Pentecost Bands of the World","Evangelistic associations","Methodist/Pietist","Holiness",1007
1916,,"Pillar of Fire","Pillar of Fire","Evangelistic associations","Holiness","Holiness",934
1916,,"Polish National Catholic Church of America","Polish National Catholic Church of America","Polish National Catholic Church of Amerca","Western Liturgical (Catholicism)","Other Groups",935
1916,,"Presbyterian Church in the United States","Presbyterian Church in the United States","Presbyterian","Reformed/Presbyterian","Presbyterian",936
1916,,"Presbyterian Church in the United States of America","Presbyterian Church in the United States of America","Presbyterian","Reformed/Presbyterian","Presbyterian",937
1916,,"Primitive Baptists","Primitive Baptists","Baptist","Baptist","Baptist",938
1916,,"Primitive Methodist Church in the United States of America","Primitive Methodist Church in the United States of America","Methodist","Methodist/Pietist","Methodist",939
1916,,"Progressive Spiritual Church","Progressive Spiritual Church","Spiritualists","Spiritualist","Spiritualist",940
1916,,"Protestant Episcopal Church","Protestant Episcopal Church","Protestant Episcopal Church","Anglicanism","Episcopalian",941
1916,,"Reformed Church in America","Reformed Church in America","Reformed ","Reformed/Presbyterian","Reformed",942
1916,,"Reformed Church in the United States","Reformed Church in the United States","Reformed ","Reformed/Presbyterian","Reformed",943
1916,,"Reformed Episcopal Church","Reformed Episcopal Church","Reformed Episcopal Church","Anglicanism","Episcopalian",944
1916,,"Reformed Mennonite Church","Reformed Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1020
1916,,"Reformed Methodist Union Episcopal Church","Reformed Methodist Union Episcopal Church","Methodist","Methodist/Pietist","Methodist",945
1916,,"Reformed Presbyterian Church in North America, General Synod","Reformed Presbyterian Church in North America, General Synod","Presbyterian","Reformed/Presbyterian","Presbyterian",946
1916,,"Reformed Zion Union Apostolic Church","Reformed Zion Union Apostolic Church","Methodist","Methodist/Pietist","Methodist",947
1916,,"Regular Baptists","Regular Baptists","Baptist","Baptist","Baptist",985
1916,,"Religious Society of Friends (Hicksite)","Religious Society of Friends (Hicksite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends",948
1916,,"Reorganized Church of Jesus Christ of Latter Day Saints","Reorganized Church of Jesus Christ of Latter Day Saints","Latter Day Saints","Latter-day Saints (Mormonism)","Latter Day Saints",950
1916,,"Roman Catholic Church","Roman Catholic Church","Roman Catholic Church","Western Liturgical (Catholicism)","Catholic",951
1916,,"Rumanian Orthodox Church","Rumanian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",952
1916,,"Russian Orthodox Church","Russian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",953
1916,,"Salvation Army","Salvation Army","Salvation Army","Holiness","Holiness",954
1916,,"Schwenkfelders","Schwenkfelders","Schwenkfelders","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Other Groups",955
1916,,"Separate Baptists","Separate Baptists","Baptist","Baptist","Baptist",984
1916,,"Serbian Orthodox Church","Serbian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",956
1916,,"Seventh-day Adventist","Seventh-day Adventist","Adventist","Adventist","Adventist",957
1916,,"Seventh Day Baptists","Seventh Day Baptists","Baptist","Baptist","Baptist",958
1916,,"Social Brethren","Social Brethren","Social Brethren","Other Groups","Other Groups",1034
1916,,"Society for Ethical Culture","Society for Ethical Culture","Society for Ethical Culture","Liberal ","Other Groups",959
1916,,"Society of Friends (Orthodox)","Society of Friends (Orthodox)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends",960
1916,,"Southern Baptist Convention","Southern Baptist Convention","Baptist","Baptist","Baptist",961
1916,,"Spiritualists (National Spirtualists' Association)","Spiritualists (National Spirtualists' Association)","Spiritualists","Spiritualist","Spiritualist",962
1916,,"Stauffer Mennonites","Stauffer Mennonites","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1027
1916,,"Swedish Evangelical Free Church","Swedish Evangelical Free Church","Scandinavian Evangelical","Methodist/Pietist","Pietist",963
1916,,"Swedish Evangelical Mission Covenant of America","Swedish Evangelical Mission Covenant of America","Scandinavian Evangelical","Methodist/Pietist","Pietist",964
1916,,"Synod for the Norwegian Evangelical Lutheran Church of America","Synod for the Norwegian Evangelical Lutheran Church of America","Lutheran (Norwegian Lutheran Church of America)","Lutheran","Lutheran",965
1916,,"Synod of the Reformed Presbyterian Church of North America","Synod of the Reformed Presbyterian Church of North America","Presbyterian","Reformed/Presbyterian","Presbyterian",966
1916,,"Syrian Orthodox Church","Syrian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",967
1916,,"Temple Society in the United States (Friends of the Temple)","Temple Society in the United States (Friends of the Temple)","Temple Society in the United States (Friends of the Temple)","Communal","Other Groups",968
1916,,"The Brethren Church (Progressive Dunkers)","The Brethren Church (Progressive Dunkers)","Brethren, German Baptist (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist",969
1916,,"Theosophical Society","Theosophical Society","Theosophical societies","Other Groups","Theosophical societies",1035
1916,,"Theosophical Society, American Section","Theosophical Society, American Section","Theosophical societies","Other Groups","Theosophical",970
1916,,"Theosophical Society, New York","Theosophical Society, New York","Theosophical societies","Other Groups","Theosophical societies",1036
1916,,"Two-Seed-in-the-Spirit Predestinarian Baptists","Two-Seed-in-the-Spirit Predestinarian Baptists","Baptist","Baptist","Baptist",988
1916,,"Union American Methodist Episcopal Church","Union American Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist",971
1916,,"Unitarians","Unitarians","Unitarians","Liberal ","Other Groups",972
1916,,"United Baptists","United Baptists","Baptist","Baptist","Baptist",986
1916,,"United Danish Evangelical Lutheran Church in America","United Danish Evangelical Lutheran Church in America","Lutheran","Lutheran","Lutheran",973
1916,,"United Evangelical Church","United Evangelical Church","United Evangelical Church",,"Methodist",974
1916,,"United Norwegian Lutheran Church in America","United Norwegian Lutheran Church in America","Lutheran (Norwegian Lutheran Church of America)","Lutheran","Lutheran",975
1916,,"United Presbyterian Church of North America","United Presbyterian Church of North America","Presbyterian","Reformed/Presbyterian","Presbyterian",976
1916,,"United Society of Believers (Shakers)","United Society of Believers (Shakers)","Communistic societies","Communal","Communitarian Societies",997
1916,,"United Synod of the Evangelical Lutheran Church in the South","United Synod of the Evangelical Lutheran Church in the South","Lutheran","Lutheran","Lutheran",977
1916,,"United Zion's Children","United Zion's Children","Brethren, River","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",992
1916,,"Universal Brotherhood and Theosophical Society","Universal Brotherhood and Theosophical Society","Theosophical societies","Other Groups","Theosophical societies",1037
1916,,"Universalists","Universalists","Universalists","Liberal ","Other Groups",978
1916,,"Vedanta Society","Vedanta Society","Vedanta Society","Other Groups","Other Groups",1039
1916,,"Voluntary Missionary Society in America","Voluntary Missionary Society in America","Evangelistic associations",,"Other Groups",1008
1916,,"Volunteers of America","Volunteers of America","Volunteers of America","Holiness","Other Groups",979
1916,,"Welsh Calvinistic Methodist Church","Welsh Calvinistic Methodist Church","Presbyterian","Reformed/Presbyterian","Presbyterian",980
1916,,"Wesleyan Methodist Connection of America","Wesleyan Methodist Connection of America","Methodist","Methodist/Pietist","Methodist",981
1926,"0-0-0","Advent Christian Church","Advent Christian Church","Adventist bodies","Adventist","Adventist",1
1926,"1-4-2","African Methodist Episcopal Church","African Methodist Episcopal Church","Methodist bodies","Methodist/Pietist","Methodist",157
1926,"1-4-3","African Methodist Episcopal Zion Church","African Methodist Episcopal Zion Church","Methodist bodies","Methodist/Pietist","Methodist",158
1926,"2-0-0","African Orthodox Church","African Orthodox Church",,"Eastern Liturgical Family (Orthodox)","Other groups",6
1926,,"African Orthodox Church of New York","African Orthodox Church of New York",,,"Other groups",7
1926,"1-4-6","African Union Methodist Protestant Church","African Union Methodist Protestant Church","Methodist bodies","Methodist/Pietist","Methodist",161
1926,"0-6-1","Albanian Orthodox Church","Albanian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox",72
1926,"0-5-7","Amana Society","Amana Society","Communistic societies","Communal","Communitarian Societies",66
1926,,"American Baptist Association","American Baptist Association","Baptist bodies","Baptist","Baptist",31
1926,"1-5-7","American Catholic Church","American Catholic Church","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic",170
1926,"1-8-5","American Ethical Union","American Ethical Union",,"Liberal","Other groups",8
1926,"0-0-5","American Rescue Workers","American Rescue Workers",,"Holiness","Holiness",9
1926,"1-9-1","American Theosophical Society","American Theosophical Society","Theosophical societies","Other Groups","Theosophical",204
1926,"0-7-1","Apostolic Christian Church","Apostolic Christian Church","Evangelistic associations","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist",82
1926,"0-7-2","Apostolic Faith Mission","Apostolic Faith Mission","Evangelistic associations","Pentecostal","Pentecostal",83
1926,"2-2-5","Apostolic Overcoming Holy Church of God","Apostolic Overcoming Holy Church of God",,"Pentecostal","Pentecostal",10
1926,"0-0-7","Assemblies of God, General Council","Assemblies of God, General Council",,"Pentecostal","Pentecostal",11
1926,"1-6-9","Associate Reformed Presbyterian Church","Associate Reformed Presbyterian Church","Presbyterian bodies","Presbyterian-Reformed","Presbyterian",184
1926,"1-6-8","Associate Synod of North America (Associate Presbyterian Church)","Associate Presbyterian Church","Presbyterian bodies","Presbyterian-Reformed","Presbyterian",183
1926,"0-9-4","Assyrian Jacobite Apostolic Church","Assyrian Jacobite Apostolic Church",,,"Orthodox",12
1926,"0-0-8","Baha’is","Baha’is",,"Miscellaneous","Other groups",13
1926,"1-5-3","Bohemian and Moravian Brethren Churches","Bohemian and Moravian Brethren Churches","Moravian bodies","Methodist/Pietist","Moravian",168
1926,"0-3-7","Brethren in Christ","Brethren in Christ","River Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",43
1926,"0-6-2","Bulgarian Orthodox Church","Bulgarian Orthodox Church","Eastern Orthodox Churches",,"Orthodox",73
1926,"0-4-2","Catholic Apostolic Church","Catholic Apostolic Church",,"Other Groups","Restorationist",46
1926,"1-3-1","Central Conference of Mennonites","Central Conference of Mennonites","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",143
1926,"0-4-3","Christadelphians","Christadelphians",,"Other Groups","Restorationist",47
1926,"0-4-4","Christian and Missionary Alliance","Christian and Missionary Alliance",,"Holiness","Holiness",48
1926,"0-4-5","Christian Church (General Convention of the Christian Church)","Christian Church",,,"Restorationist",49
1926,"0-7-3","Christian Congregation","Christian Congregation","Evangelistic associations",,"Restorationist",84
1926,"1-7-5","Christian Reformed Church","Christian Reformed Church","Reformed bodies"," Presbyterian-Reformed","Reformed",190
1926,"2-1-9","Christian Science Parent Church","Christian Science Parent Church",,,"Christian Science",50
1926,"0-4-6","Christian Union","Christian Union",,"Holiness","Restorationist",51
1926,"0-4-9","Churches of Christ","Churches of Christ",,"Restorationist","Restorationist",59
1926,"2-4-3","Churches of God, Holiness","Churches of God, Holiness",,"Holiness","Holiness",60
1926,"0-5-1","Churches of God in North America (General Eldership)","Churches of God in North America",,"Presbyterian-Reformed","Restorationist",61
1926,"0-0-6","Church of Armenia in America","Church of Armenia in America",,"Eastern Liturgical (Orthodox)","Orthodox",52
1926,,"Church of Christ (Holiness) U.S.A.","Church of Christ (Holiness) U.S.A.",,"Holiness","Holiness",53
1926,"2-0-6","Church of Christ, Scientist","Church of Christ, Scientist",,"Christian Science","Christian Science",54
1926,"0-7-4","Church of Daniel's Band","Church of Daniel’s Band","Evangelistic associations","Methodist/Pietist","Holiness",85
1926,"0-5-0","Church of God","Church of God",,,"Pentecostal",214
1926,"0-0-2","Church of God (Adventist)","Church of God (Adventist)","Adventist bodies","Adventist","Adventist",3
1926,"0-4-7","Church of God and Saints of Christ","Church of God and Saints of Christ",,"Judaism","Other groups",56
1926,"2-2-0","Church of God (Apostolic)","Church of God (Apostolic)","Evangelistic associations","Pentecostal","Pentecostal",92
1926,"0-7-5","Church of God as Organized by Christ","Church of God as Organized by Christ","Evangelistic associations","Other Groups","Other groups",86
1926,"2-0-5","Church of God (Headquarters, Anderson, Ind.)","Church of God (Anderson, Ind.)",,"Holiness","Holiness",55
1926,"2-3-4","Church of God in Christ","Church of God in Christ",,"Pentecostal","Pentecostal",57
1926,"0-0-4","Church of God in Christ Jesus (Adventist)","Church of God in Christ Jesus (Adventist)","Adventist bodies",,"Adventist",5
1926,"1-2-2","Church of God in Christ (Mennonite)","Church of God in Christ (Mennonite)","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",134
1926,"0-3-0","Church of God (New Dunkers)","Church of God (New Dunkers)","German Baptist Brethren (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist",36
1926,"0-9-6","Church of Jesus Christ of Latter-day Saints","Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism)","Latter Day Saints",103
1926,"0-2-6","Church of the Brethren (Conservative Dunkers)","Church of the Brethren (Conservative Dunkers)","German Baptist Brethren (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist",32
1926,"0-5-3","Church of the Living God, Christian Workers for Fellowship","Church of the Living God, Christian Workers for Fellowship","Churches of the Living God","Pentecostal","Pentecostal",62
1926,"0-5-2","Church of the Living God, “The Pillar and Ground of Truth”","Church of the Living God, “The Pillar and Ground of Truth”","Churches of the Living God","Pentecostal","Pentecostal",63
1926,"1-0-7","Church of the Lutheran Brethren of America","Church of the Lutheran Brethren of America","Lutherans","Lutheran","Lutheran",126
1926,"1-5-9","Church of the Nazarene","Church of the Nazarene",,"Holiness","Holiness",58
1926,"1-9-4","Church of the United Brethren in Christ","Church of the United Brethren in Christ","United Brethren bodies","Methodist/Pietist","United Brethren",208
1926,"1-9-5","Church of the United Brethren in Christ (Old Constitution)","Church of the United Brethren in Christ (Old Constitution)","United Brethren bodies","Methodist/Pietist","United Brethren",209
1926,"1-6-4","Colored Cumberland Presbyterian Church","Colored Cumberland Presbyterian Church","Presbyterian bodies","Presbyterian-Reformed","Presbyterian",180
